"6/3/2015 10:49:32 PM","ben assef","6/20/2015","6/20/2015","","12:00 AM","Art Blitz","6:00 PM","12:00 PM","6/20/2015","12:00 AM","6/20/2015","6/3/2015 10:50:39 PM","1","5C58A9D3-3FAE-4E78-967B-80E5127841AF","7"
"6/9/2015 12:36:17 AM","ben assef","6/10/2015","6/10/2015","","9:00 PM","Servant Day","8:00 PM","10:00 AM","6/10/2015","9:00 PM","6/10/2015","3/15/2016 11:10:08 PM","1","A8652BB0-ECBF-4902-B2DC-C8951CC2CAFD","7"
"6/9/2015 1:10:10 PM","ben assef","6/10/2015","6/10/2015","","8:00 PM","Red Ball Party","2:00 PM","9:00 AM","6/10/2015","8:00 PM","6/10/2015","6/9/2015 1:11:24 PM","1","C5392E21-62BA-4CB9-9AA8-41C0714CF79C","7"
"6/11/2015 12:11:43 PM","Sean O'Connell","6/13/2015","6/13/2015","","11:00 PM","movies on the plaza","9:00 PM","7:00 PM","6/13/2015","11:00 PM","6/13/2015","6/11/2015 12:12:36 PM","1","2C7F6E42-88A4-4D9D-BEC3-65D6E8D495C4","7"
"6/16/2015 1:34:10 PM","Sean O'Connell","6/21/2015","6/18/2015","","","Steamboat Days","","1:00 PM","6/18/2015","","6/21/2015","2/10/2016 10:06:20 AM","4","9840CFB3-BA29-4640-AC84-3A7828A8EE5D","7"
"6/16/2015 11:26:54 PM","ben assef","9/10/2015","9/10/2015","","8:00 PM","Brandon Chase","6:30 PM","12:00 PM","9/10/2015","8:00 PM","9/10/2015","9/4/2015 3:44:32 PM","1","F762E94E-0915-410F-9FAE-5D30FC8DD8B1","7"
"6/17/2015 12:00:57 AM","ben assef","7/18/2015","7/18/2015","","","Blue Dragon","","","7/18/2015","","7/18/2015","6/17/2015 12:02:34 AM","1","DFBE5534-711A-4FF8-B726-A1906FBFC37E","7"
"6/17/2015 12:34:03 AM","ben assef","7/10/2015","7/10/2015","","9:00 PM","Suite","6:00 PM","2:00 PM","7/10/2015","9:00 PM","7/10/2015","6/17/2015 12:35:42 AM","1","8058EA96-61B1-4EE2-83F3-8024ADF28170","7"
"6/23/2015 8:50:01 PM","ben assef","6/27/2015","6/25/2015","","","Built to Last","","8:00 AM","6/25/2015","12:30 AM","6/28/2015","2/22/2016 4:59:01 PM","3","C252DBFC-986A-4C60-8166-04C38DABA46C","7"
"6/24/2015 10:51:58 AM","ben assef","6/24/2015","6/24/2015","","10:00 PM","Silent Movie","9:00 PM","5:00 PM","6/24/2015","10:00 PM","6/24/2015","3/9/2016 7:10:08 AM","1","F5C196F1-872C-438D-AECF-BB894D604A7D","7"
"7/1/2015 8:03:36 AM","ben assef","4/16/2016","4/16/2016","","11:30 PM","Dancing for the Arts","5:00 PM","12:00 PM","4/15/2016","11:30 PM","4/16/2016","7/1/2015 8:07:17 AM","1","6B4829F9-90DB-490B-9AA9-17AE42678A70","7"
"7/1/2015 8:45:05 AM","ben assef","7/19/2015","7/19/2015","","11:00 PM","Rushford Days","8:00 PM","2:00 PM","7/19/2015","11:00 PM","7/19/2015","7/1/2015 8:45:54 AM","1","BEF860F7-BB25-475F-954B-68ED05583692","7"
"7/3/2015 9:29:18 AM","ben assef","7/4/2015","7/4/2015","","11:45 PM","Salute to the Fourth","10:00 AM","8:00 AM","7/4/2015","11:45 PM","7/4/2015","7/3/2015 9:30:22 AM","1","DDC1D879-6AB4-4B95-9F43-C852F49E54EB","7"
"7/3/2015 10:51:51 AM","ben assef","8/2/2015","8/2/2015","","5:00 PM","Dogs Downtown","1:00 PM","10:00 AM","8/2/2015","5:00 PM","8/2/2015","7/3/2015 10:58:03 AM","1","58D26D60-599C-4F37-BB4C-917C2768F588","7"
"7/6/2015 1:44:53 PM","ben assef","8/1/2015","8/1/2015","","","Uplighting","","","8/1/2015","","8/1/2015","7/6/2015 1:45:28 PM","1","5CF5EB81-2112-4BF4-82BE-2109C8EBEB3E","7"
"7/7/2015 10:33:46 AM","Sean O'Connell","7/11/2015","7/11/2015","","","EcoFest","","","7/11/2015","","7/11/2015","3/18/2016 2:02:10 PM","1","52F40C84-BCEE-4922-974F-1A900A17CE92","7"
"7/10/2015 11:59:44 AM","ben assef","7/10/2015","7/10/2015","","","Lighting Rental","","","7/10/2015","","7/10/2015","7/10/2015 12:00:49 PM","1","9857CEA7-9F14-494F-8F76-76C3690E53DD","7"
"7/13/2015 1:38:39 PM","Sean O'Connell","7/18/2015","7/18/2015","","","Eyota Days","","","7/18/2015","","7/18/2015","7/13/2015 1:39:17 PM","1","919F36D8-92C9-4E84-B2AA-CBFECA42A2E1","7"
"8/3/2015 1:50:12 PM","Sean O'Connell","8/9/2015","8/6/2015","","","Big Wu Family Reunion","4:00 PM","","8/6/2015","","8/9/2015","5/7/2016 11:52:13 PM","4","C6754827-2502-4E70-90D6-28F20AE66796","7"
"8/3/2015 10:30:18 PM","Ben Assef","9/12/2015","9/12/2015","","9:00 PM","Harvest Jam","2:00 PM","9:00 AM","9/11/2015","9:00 PM","9/12/2015","8/3/2015 10:34:03 PM","1","FC6D3D29-EAB1-448A-8ED3-9380C99504F0","7"
