"Audio","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","1241DBD4-D3FD-B24E-8088-3CC575C39821","XLR 10'","0","3/24/2015 1:05:10 AM","","","610324B1-C477-7B40-901B-0A2FBE398C34","0","10",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Stage Stringer","0","3/24/2015 12:58:13 AM","","","68A9235F-4076-AD48-95F9-5F7AFFAD8282","","2",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Lil' Bro","0","3/24/2015 12:58:13 AM","","","F0B8FAAC-9731-364E-9557-BA886DC1C461","","2",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Cat5e 150'","0","3/24/2015 12:58:14 AM","","","88AD6B8C-065F-8348-AD4F-34D753118965","","1",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Cat5e 100'","0","3/24/2015 12:58:15 AM","","","D6A4CDC5-0947-1446-86E8-DF7525D68FF6","","1",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","AC 10'","0","3/24/2015 12:58:15 AM","","","08C8E5FE-28B5-2F4E-A83D-DB5EA06DF1B2","","5",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","AC 5","0","3/24/2015 12:58:16 AM","","","63517EAE-8598-3341-8EFB-C927565B44FF","","4",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","AC 25","0","3/24/2015 12:58:16 AM","","","A49D06A9-E9C5-0F4D-BD5A-E91E07F6E97D","","4",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","AC 50'","0","3/24/2015 12:58:17 AM","","","A2D7780F-812D-ED4D-B806-D5C9ADA05393","","2",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","AC 100'","0","3/24/2015 12:58:17 AM","","","966FAA5F-3EBF-8E4C-85B5-22ECAE42C688","","2",""
"","","","Audio","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","AR 2412","0","3/24/2015 12:58:18 AM","","","D76FC228-531A-7A47-8A70-7A2D2318F11B","","1",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","IEC","0","3/24/2015 12:58:19 AM","","","E84A6B9F-62CD-A742-BA55-9315DDFC448B","","4",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","30A 220 > x2 20A Edison","0","3/24/2015 12:58:19 AM","","","C5F14A7A-39F1-FA49-8913-01C4EAF5D921","","1",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Short 6-8 Ch","0","3/24/2015 12:58:20 AM","","","D775A143-1CBF-164F-B148-22FE9042B8A0","","1",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Quad Boxes","0","3/24/2015 12:58:20 AM","","","E2428DE3-5266-1044-B83C-E6A57B7921DB","","5",""
"","","","Audio","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","K10","0","3/24/2015 12:58:21 AM","","","E538BE9A-DDA0-2548-B31C-38F0D3106FEA","","2",""
"","","","Extra","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Gaff, E, Sharpie, Spike Tape...","0","3/24/2015 12:58:22 AM","","","3B6A71B5-DC79-2E41-B83F-BD1E3F3F62B1","","1",""
"","","","Extra","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","Stools","0","3/24/2015 12:58:22 AM","","","48FA65B0-8F14-FF46-9D55-7C0EF0CCE237","","4",""
"","","","Cabling","","08EB7763-05F3-BA4B-B059-8B34E0C1A136","0","TRS > MXLR","0","3/24/2015 12:58:23 AM","","","CFEED4BB-0AAD-3946-85F4-8F3B1ABC55DE","","2",""
"Speakers","","","Audio","","0594CE47-CFA9-BA4D-A8E7-B95ADC7358A3","1CE582F0-46B8-8446-8D08-9D4F531CE384","VRX 918","0","3/24/2015 1:05:22 AM","","","9CC1707C-5FA9-DA44-BD37-EA3C7AADDD40","60","4","Subwoofer"
"","","","Cabling","","0594CE47-CFA9-BA4D-A8E7-B95ADC7358A3","0","IEC","0","3/24/2015 12:58:24 AM","","","E48A08C3-0880-8749-9089-72B33AFF8F87","","1",""
"","","","Audio","","0594CE47-CFA9-BA4D-A8E7-B95ADC7358A3","0","K10","0","3/24/2015 12:58:24 AM","","","C5E269A4-6107-3D44-B208-ECAFC7EB15B1","","4",""
"Mixers","","","Audio","","0594CE47-CFA9-BA4D-A8E7-B95ADC7358A3","2B6193A8-D01B-3C44-AC72-12297BE5E325","Qu-16","0","3/24/2015 1:05:23 AM","","","04A80A2C-CFEB-F147-99D3-E3272A07D002","150","1",""
"","","","Audio","","0594CE47-CFA9-BA4D-A8E7-B95ADC7358A3","0","AR2412","0","3/24/2015 12:58:26 AM","","","6CBF1C2E-CA0C-964C-BD21-9AC5A3EE117D","","1",""
"LED","","","Lighting","","5465FABC-592C-0B4E-AC4C-62071CDAD2BB","F5740FF3-FF44-A64C-82C0-5950576DF3C8","V12's","0","3/24/2015 1:05:25 AM","","Add Clamps","E7A5EE5A-4BF6-CE49-8091-58281CD7278B","0","12",""
